Name,minLevel,maxLevel,Times,LocationTypes,Biome,AntiBiome,Rarity
Comfey,15,35,MORNING,Grass,"minecraft:sunflower_plains, minecraft:flower_forest, minecraft:cherry_grove, biomesoplenty:lavender_field, biomesoplenty:origin_valley, biomeswevegone:allium_shrubland, biomeswevegone:amaranth_grassland, biomeswevegone:rose_fields, biomeswevegone:sakura_grove, terralith:lavender_valley, terralith:blooming_plateau, terralith:blooming_valley, terralith:sakura_grove, terralith:sakura_valley, terralith:skylands_spring, biox:flower_plains, biox:highlands, biox:honeyed_caves, biox:sunflower_hills, mysticsbiomes:strawberry_fields, mysticsbiomes:lavender_meadow, mysticsbiomes:bamboo_blossom_forest",NONE,30.0
Comfey,15,35,ANY,Curry,"minecraft:sunflower_plains, minecraft:flower_forest, minecraft:cherry_grove, biomesoplenty:lavender_field, biomesoplenty:origin_valley, biomeswevegone:allium_shrubland, biomeswevegone:amaranth_grassland, biomeswevegone:rose_fields, biomeswevegone:sakura_grove, terralith:lavender_valley, terralith:blooming_plateau, terralith:blooming_valley, terralith:sakura_grove, terralith:sakura_valley, terralith:skylands_spring, biox:flower_plains, biox:highlands, biox:honeyed_caves, biox:sunflower_hills, mysticsbiomes:strawberry_fields, mysticsbiomes:lavender_meadow, mysticsbiomes:bamboo_blossom_forest",NONE,10.0
Comfey,15,35,MORNING,Land,"minecraft:sunflower_plains, minecraft:flower_forest, minecraft:cherry_grove, biomesoplenty:lavender_field, biomesoplenty:origin_valley, biomeswevegone:allium_shrubland, biomeswevegone:amaranth_grassland, biomeswevegone:rose_fields, biomeswevegone:sakura_grove, terralith:lavender_valley, terralith:blooming_plateau, terralith:blooming_valley, terralith:sakura_grove, terralith:sakura_valley, terralith:skylands_spring, biox:flower_plains, biox:highlands, biox:honeyed_caves, biox:sunflower_hills, mysticsbiomes:strawberry_fields, mysticsbiomes:lavender_meadow, mysticsbiomes:bamboo_blossom_forest",NONE,30.0
Conkeldurr,45,60,NIGHT,Land,pixelmon:ultra_plant,NONE,5.0
Copperajah,35,50,"DAWN, DAY",Grass,"minecraft:savanna, minecraft:savanna_plateau, minecraft:windswept_savanna, biomesoplenty:lush_savanna, biomeswevegone:araucaria_savanna, biomeswevegone:atacama_outback, biomeswevegone:baobab_savanna, biomeswevegone:ironwood_gour, terralith:arid_highlands, terralith:fractured_savanna, terralith:savanna_badlands, terralith:savanna_slopes",NONE,10.0
Copperajah,35,50,"DAWN, DAY",Land,"minecraft:savanna, minecraft:savanna_plateau, minecraft:windswept_savanna, biomesoplenty:lush_savanna, biomeswevegone:araucaria_savanna, biomeswevegone:atacama_outback, biomeswevegone:baobab_savanna, biomeswevegone:ironwood_gour, terralith:arid_highlands, terralith:fractured_savanna, terralith:savanna_badlands, terralith:savanna_slopes",NONE,10.0
Corphish,5,29,ANY,Curry,"minecraft:river, terralith:warm_river, minecraft:swamp, minecraft:mangrove_swamp, biomesoplenty:bayou, biomesoplenty:bog, biomesoplenty:marsh, biomesoplenty:wetland, biomeswevegone:bayou, biomeswevegone:cypress_swamplands, biomeswevegone:cypress_wetlands, terralith:orchid_swamp, terralith:desert_oasis, terralith:red_oasis",NONE,150.0
Corphish,5,29,ANY,Good Rod,"minecraft:river, terralith:warm_river, minecraft:swamp, minecraft:mangrove_swamp, biomesoplenty:bayou, biomesoplenty:bog, biomesoplenty:marsh, biomesoplenty:wetland, biomeswevegone:bayou, biomeswevegone:cypress_swamplands, biomeswevegone:cypress_wetlands, terralith:orchid_swamp, terralith:desert_oasis, terralith:red_oasis",NONE,60.0
Corphish,10,15,ANY,Forage,"minecraft:river, terralith:warm_river, terralith:desert_oasis, terralith:red_oasis",NONE,10.0
Corphish,2,29,ANY,"Land, Rock Smash, Seafloor, Forage","minecraft:river, terralith:warm_river, minecraft:swamp, minecraft:mangrove_swamp, biomesoplenty:bayou, biomesoplenty:bog, biomesoplenty:marsh, biomesoplenty:wetland, biomeswevegone:bayou, biomeswevegone:cypress_swamplands, biomeswevegone:cypress_wetlands, terralith:orchid_swamp, terralith:desert_oasis, terralith:red_oasis",NONE,250.0
Corphish,5,20,ANY,Rock Smash,"minecraft:river, terralith:warm_river, minecraft:swamp, minecraft:mangrove_swamp, biomesoplenty:bayou, biomesoplenty:bog, biomesoplenty:marsh, biomesoplenty:wetland, biomeswevegone:bayou, biomeswevegone:cypress_swamplands, biomeswevegone:cypress_wetlands, terralith:orchid_swamp, terralith:desert_oasis, terralith:red_oasis",NONE,250.0
Corphish,5,29,ANY,Grass,"minecraft:river, minecraft:swamp, minecraft:mangrove_swamp, biomesoplenty:bayou, biomesoplenty:bog, biomesoplenty:marsh, biomesoplenty:wetland, biomeswevegone:bayou, biomeswevegone:cypress_swamplands, biomeswevegone:cypress_wetlands, terralith:orchid_swamp, terralith:desert_oasis, terralith:red_oasis",NONE,250.0
Corphish,10,28,ANY,Super Rod,"minecraft:river, terralith:warm_river, minecraft:swamp, minecraft:mangrove_swamp, biomesoplenty:bayou, biomesoplenty:bog, biomesoplenty:marsh, biomesoplenty:wetland, biomeswevegone:bayou, biomeswevegone:cypress_swamplands, biomeswevegone:cypress_wetlands, terralith:orchid_swamp, terralith:desert_oasis, terralith:red_oasis, minecraft:beach, minecraft:snowy_beach, minecraft:stony_shore, biomesoplenty:dune_beach, biomesoplenty:gravel_beach, biomeswevegone:basalt_barrera, biomeswevegone:dacite_shore, biomeswevegone:rainbow_beach, terralith:basalt_cliffs, terralith:gravel_beach, biox:himalayan_shore, mysticsbiomes:lagoon",NONE,100.0
Corsola,18,34,DAY,Rock Smash,"minecraft:warm_ocean, minecraft:lukewarm_ocean, byg:coral_mangroves",NONE,50.0
Corsola,18,34,DAY,Super Rod,"minecraft:warm_ocean, minecraft:lukewarm_ocean, byg:coral_mangroves, minecraft:beach, minecraft:snowy_beach, minecraft:stony_shore, biomesoplenty:dune_beach, biomesoplenty:gravel_beach, biomeswevegone:basalt_barrera, biomeswevegone:dacite_shore, biomeswevegone:rainbow_beach, terralith:basalt_cliffs, terralith:gravel_beach, biox:himalayan_shore, mysticsbiomes:lagoon, pixelmon:ultra_desert","minecraft:snowy_taiga, minecraft:snowy_plains, minecraft:snowy_beach, minecraft:frozen_river, minecraft:frozen_ocean, minecraft:ice_spikes, minecraft:frozen_peaks, biomesoplenty:auroral_garden, biomesoplenty:cold_desert, biomesoplenty:muskeg, biomesoplenty:snowblossom_grove, biomesoplenty:snowy_coniferous_forest, biomesoplenty:snowy_fir_clearing, biomesoplenty:snowy_maple_woods, biomesoplenty:wintry_origin_valley, biomeswevegone:eroded_borealis, biomeswevegone:frosted_coniferous_forest, biomeswevegone:frosted_taiga, biomeswevegone:shattered_glacier, terralith:cold_shrubland, terralith:emerald_peaks, terralith:frozen_cliffs, terralith:glacial_chasm, terralith:gravel_desert, terralith:ice_marsh, terralith:snowy_badlands, terralith:snowy_shield, terralith:wintry_forest, terralith:wintry_lowlands",9.0
Corsola,2,50,"DAWN, DAY","Seafloor, Rock Smash","minecraft:warm_ocean, minecraft:lukewarm_ocean, biomeswevegone:lush_stacks",NONE,30.0
Corsola form:galarian,18,34,NIGHT,Rock Smash,"minecraft:warm_ocean, minecraft:lukewarm_ocean, byg:coral_mangroves",NONE,50.0
Corsola form:galarian,18,34,NIGHT,Super Rod,"minecraft:deep_frozen_ocean, minecraft:deep_cold_ocean, minecraft:deep_ocean, minecraft:deep_lukewarm_ocean, minecraft:frozen_ocean, minecraft:ocean, minecraft:cold_ocean, minecraft:lukewarm_ocean, minecraft:warm_ocean, minecraft:beach, minecraft:snowy_beach, minecraft:stony_shore, biomesoplenty:dune_beach, biomesoplenty:gravel_beach, biomeswevegone:basalt_barrera, biomeswevegone:dacite_shore, biomeswevegone:rainbow_beach, terralith:basalt_cliffs, terralith:gravel_beach, biox:himalayan_shore, mysticsbiomes:lagoon, pixelmon:ultra_desert",NONE,9.0
Corsola form:galarian,2,50,"DUSK, NIGHT","Seafloor, Rock Smash","minecraft:deep_frozen_ocean, minecraft:deep_cold_ocean, minecraft:deep_ocean, minecraft:deep_lukewarm_ocean, minecraft:frozen_ocean, minecraft:ocean, minecraft:cold_ocean, minecraft:lukewarm_ocean, minecraft:warm_ocean",NONE,30.0
Corsola form:galarian,2,50,ANY,Seafloor,biomeswevegone:dead_sea,NONE,30.0
Corviknight,38,55,NIGHT,Grass,"minecraft:jagged_peaks, minecraft:stony_peaks, minecraft:snowy_slopes, minecraft:windswept_hills, minecraft:windswept_gravelly_hills, biomesoplenty:crag, biomesoplenty:highland, biomesoplenty:jade_cliffs, biomeswevegone:howling_peaks, terralith:alpine_highlands, terralith:caldera, terralith:granite_cliffs, terralith:haze_mountain, terralith:highlands, terralith:rocky_mountains, terralith:scarlet_mountains, terralith:stony_spires, terralith:windswept_spires, terralith:yosemite_cliffs, minecraft:windswept_forest, minecraft:grove, biomesoplenty:fir_clearing, biomesoplenty:hot_springs, biomesoplenty:jade_cliffs, biomeswevegone:dacite_ridges, terralith:alpine_grove, terralith:cloud_forest, terralith:rocky_mountains, terralith:forested_highlands, terralith:haze_mountain, terralith:lush_valley, terralith:yellowstone, terralith:yosemite_lowlands, minecraft:old_growth_pine_taiga, minecraft:old_growth_spruce_taiga, biomesoplenty:redwood_forest, biomeswevegone:cika_woods, biomeswevegone:redwood_thicket, minecraft:swamp, minecraft:mangrove_swamp, biomesoplenty:bayou, biomesoplenty:bog, biomesoplenty:marsh, biomesoplenty:wetland, biomeswevegone:bayou, biomeswevegone:cypress_swamplands, biomeswevegone:cypress_wetlands, terralith:orchid_swamp",NONE,0.5
Corviknight,38,55,ANY,Air,pixelmon:ultra_crater,NONE,25.0
Corviknight,38,55,NIGHT,Air,"minecraft:jagged_peaks, minecraft:stony_peaks, minecraft:snowy_slopes, minecraft:windswept_hills, minecraft:windswept_gravelly_hills, biomesoplenty:crag, biomesoplenty:highland, biomesoplenty:jade_cliffs, biomeswevegone:howling_peaks, terralith:alpine_highlands, terralith:caldera, terralith:granite_cliffs, terralith:haze_mountain, terralith:highlands, terralith:rocky_mountains, terralith:scarlet_mountains, terralith:stony_spires, terralith:windswept_spires, terralith:yosemite_cliffs, minecraft:windswept_forest, minecraft:grove, biomesoplenty:fir_clearing, biomesoplenty:hot_springs, biomesoplenty:jade_cliffs, biomeswevegone:dacite_ridges, terralith:alpine_grove, terralith:cloud_forest, terralith:rocky_mountains, terralith:forested_highlands, terralith:haze_mountain, terralith:lush_valley, terralith:yellowstone, terralith:yosemite_lowlands, minecraft:old_growth_pine_taiga, minecraft:old_growth_spruce_taiga, biomesoplenty:redwood_forest, biomeswevegone:cika_woods, biomeswevegone:redwood_thicket, minecraft:swamp, minecraft:mangrove_swamp, biomesoplenty:bayou, biomesoplenty:bog, biomesoplenty:marsh, biomesoplenty:wetland, biomeswevegone:bayou, biomeswevegone:cypress_swamplands, biomeswevegone:cypress_wetlands, terralith:orchid_swamp",NONE,0.5
Corvisquire,18,35,"DUSK, NIGHT",Headbutt,"minecraft:jagged_peaks, minecraft:stony_peaks, minecraft:snowy_slopes, minecraft:windswept_hills, minecraft:windswept_gravelly_hills, biomesoplenty:crag, biomesoplenty:highland, biomesoplenty:jade_cliffs, biomeswevegone:howling_peaks, terralith:alpine_highlands, terralith:caldera, terralith:granite_cliffs, terralith:haze_mountain, terralith:highlands, terralith:rocky_mountains, terralith:scarlet_mountains, terralith:stony_spires, terralith:windswept_spires, terralith:yosemite_cliffs, minecraft:windswept_forest, minecraft:grove, biomesoplenty:fir_clearing, biomesoplenty:hot_springs, biomesoplenty:jade_cliffs, biomeswevegone:dacite_ridges, terralith:alpine_grove, terralith:cloud_forest, terralith:rocky_mountains, terralith:forested_highlands, terralith:haze_mountain, terralith:lush_valley, terralith:yellowstone, terralith:yosemite_lowlands, minecraft:old_growth_pine_taiga, minecraft:old_growth_spruce_taiga, biomesoplenty:redwood_forest, biomeswevegone:cika_woods, biomeswevegone:redwood_thicket, minecraft:swamp, minecraft:mangrove_swamp, biomesoplenty:bayou, biomesoplenty:bog, biomesoplenty:marsh, biomesoplenty:wetland, biomeswevegone:bayou, biomeswevegone:cypress_swamplands, biomeswevegone:cypress_wetlands, terralith:orchid_swamp",NONE,100.0
Corvisquire,18,35,ANY,Air,pixelmon:ultra_crater,NONE,100.0
Corvisquire,18,35,"DUSK, NIGHT",Grass,"minecraft:jagged_peaks, minecraft:stony_peaks, minecraft:snowy_slopes, minecraft:windswept_hills, minecraft:windswept_gravelly_hills, biomesoplenty:crag, biomesoplenty:highland, biomesoplenty:jade_cliffs, biomeswevegone:howling_peaks, terralith:alpine_highlands, terralith:caldera, terralith:granite_cliffs, terralith:haze_mountain, terralith:highlands, terralith:rocky_mountains, terralith:scarlet_mountains, terralith:stony_spires, terralith:windswept_spires, terralith:yosemite_cliffs, minecraft:windswept_forest, minecraft:grove, biomesoplenty:fir_clearing, biomesoplenty:hot_springs, biomesoplenty:jade_cliffs, biomeswevegone:dacite_ridges, terralith:alpine_grove, terralith:cloud_forest, terralith:rocky_mountains, terralith:forested_highlands, terralith:haze_mountain, terralith:lush_valley, terralith:yellowstone, terralith:yosemite_lowlands, minecraft:old_growth_pine_taiga, minecraft:old_growth_spruce_taiga, biomesoplenty:redwood_forest, biomeswevegone:cika_woods, biomeswevegone:redwood_thicket, minecraft:swamp, minecraft:mangrove_swamp, biomesoplenty:bayou, biomesoplenty:bog, biomesoplenty:marsh, biomesoplenty:wetland, biomeswevegone:bayou, biomeswevegone:cypress_swamplands, biomeswevegone:cypress_wetlands, terralith:orchid_swamp",NONE,90.0
Corvisquire,18,35,"DUSK, NIGHT","Air, Headbutt","minecraft:jagged_peaks, minecraft:stony_peaks, minecraft:snowy_slopes, minecraft:windswept_hills, minecraft:windswept_gravelly_hills, biomesoplenty:crag, biomesoplenty:highland, biomesoplenty:jade_cliffs, biomeswevegone:howling_peaks, terralith:alpine_highlands, terralith:caldera, terralith:granite_cliffs, terralith:haze_mountain, terralith:highlands, terralith:rocky_mountains, terralith:scarlet_mountains, terralith:stony_spires, terralith:windswept_spires, terralith:yosemite_cliffs, minecraft:windswept_forest, minecraft:grove, biomesoplenty:fir_clearing, biomesoplenty:hot_springs, biomesoplenty:jade_cliffs, biomeswevegone:dacite_ridges, terralith:alpine_grove, terralith:cloud_forest, terralith:rocky_mountains, terralith:forested_highlands, terralith:haze_mountain, terralith:lush_valley, terralith:yellowstone, terralith:yosemite_lowlands, minecraft:old_growth_pine_taiga, minecraft:old_growth_spruce_taiga, biomesoplenty:redwood_forest, biomeswevegone:cika_woods, biomeswevegone:redwood_thicket, minecraft:swamp, minecraft:mangrove_swamp, biomesoplenty:bayou, biomesoplenty:bog, biomesoplenty:marsh, biomesoplenty:wetland, biomeswevegone:bayou, biomeswevegone:cypress_swamplands, biomeswevegone:cypress_wetlands, terralith:orchid_swamp",NONE,90.0
Corvisquire status:Sleep,18,35,"DAWN, DAY",Headbutt,"minecraft:jagged_peaks, minecraft:stony_peaks, minecraft:snowy_slopes, minecraft:windswept_hills, minecraft:windswept_gravelly_hills, biomesoplenty:crag, biomesoplenty:highland, biomesoplenty:jade_cliffs, biomeswevegone:howling_peaks, terralith:alpine_highlands, terralith:caldera, terralith:granite_cliffs, terralith:haze_mountain, terralith:highlands, terralith:rocky_mountains, terralith:scarlet_mountains, terralith:stony_spires, terralith:windswept_spires, terralith:yosemite_cliffs, minecraft:windswept_forest, minecraft:grove, biomesoplenty:fir_clearing, biomesoplenty:hot_springs, biomesoplenty:jade_cliffs, biomeswevegone:dacite_ridges, terralith:alpine_grove, terralith:cloud_forest, terralith:rocky_mountains, terralith:forested_highlands, terralith:haze_mountain, terralith:lush_valley, terralith:yellowstone, terralith:yosemite_lowlands, minecraft:old_growth_pine_taiga, minecraft:old_growth_spruce_taiga, biomesoplenty:redwood_forest, biomeswevegone:cika_woods, biomeswevegone:redwood_thicket, minecraft:swamp, minecraft:mangrove_swamp, biomesoplenty:bayou, biomesoplenty:bog, biomesoplenty:marsh, biomesoplenty:wetland, biomeswevegone:bayou, biomeswevegone:cypress_swamplands, biomeswevegone:cypress_wetlands, terralith:orchid_swamp",NONE,100.0
Cosmog level:15,ANY,ANY,"DUSK, NIGHT",Land,"minecraft:sunflower_plains, pixelmon:ultra_forest, pixelmon:ultra_deep_sea, pixelmon:ultra_jungle, pixelmon:ultra_plant, pixelmon:ultra_crater, pixelmon:ultra_desert",NONE,1.0
Cottonee,5,25,ANY,Curry,"minecraft:sunflower_plains, minecraft:flower_forest, minecraft:cherry_grove, biomesoplenty:lavender_field, biomesoplenty:origin_valley, biomeswevegone:allium_shrubland, biomeswevegone:amaranth_grassland, biomeswevegone:rose_fields, biomeswevegone:sakura_grove, terralith:lavender_valley, terralith:blooming_plateau, terralith:blooming_valley, terralith:sakura_grove, terralith:sakura_valley, terralith:skylands_spring, biox:flower_plains, biox:highlands, biox:honeyed_caves, biox:sunflower_hills, mysticsbiomes:strawberry_fields, mysticsbiomes:lavender_meadow, mysticsbiomes:bamboo_blossom_forest",NONE,90.0
Cottonee,5,25,DAY,Grass,"minecraft:sunflower_plains, minecraft:flower_forest, minecraft:cherry_grove, biomesoplenty:lavender_field, biomesoplenty:origin_valley, biomeswevegone:allium_shrubland, biomeswevegone:amaranth_grassland, biomeswevegone:rose_fields, biomeswevegone:sakura_grove, terralith:lavender_valley, terralith:blooming_plateau, terralith:blooming_valley, terralith:sakura_grove, terralith:sakura_valley, terralith:skylands_spring, biox:flower_plains, biox:highlands, biox:honeyed_caves, biox:sunflower_hills, mysticsbiomes:strawberry_fields, mysticsbiomes:lavender_meadow, mysticsbiomes:bamboo_blossom_forest",NONE,130.0
Cottonee,2,25,DAY,Land,"minecraft:sunflower_plains, minecraft:flower_forest, minecraft:cherry_grove, biomesoplenty:lavender_field, biomesoplenty:origin_valley, biomeswevegone:allium_shrubland, biomeswevegone:amaranth_grassland, biomeswevegone:rose_fields, biomeswevegone:sakura_grove, terralith:lavender_valley, terralith:blooming_plateau, terralith:blooming_valley, terralith:sakura_grove, terralith:sakura_valley, terralith:skylands_spring, biox:flower_plains, biox:highlands, biox:honeyed_caves, biox:sunflower_hills, mysticsbiomes:strawberry_fields, mysticsbiomes:lavender_meadow, mysticsbiomes:bamboo_blossom_forest",NONE,130.0
Crabominable,15,35,NIGHT,Grass,"minecraft:snowy_beach, byg:snowy_black_beach, byg:snowy_rocky_black_beach",NONE,0.5
Crabominable,15,35,NIGHT,Land,minecraft:snowy_beach,NONE,0.5
Crabrawler,15,35,ANY,Curry,"minecraft:beach, minecraft:snowy_beach, minecraft:stony_shore, biomesoplenty:dune_beach, biomesoplenty:gravel_beach, biomeswevegone:basalt_barrera, biomeswevegone:dacite_shore, biomeswevegone:rainbow_beach, terralith:basalt_cliffs, terralith:gravel_beach, biox:himalayan_shore, mysticsbiomes:lagoon","minecraft:snowy_taiga, minecraft:snowy_plains, minecraft:snowy_beach, minecraft:frozen_river, minecraft:frozen_ocean, minecraft:ice_spikes, minecraft:frozen_peaks, biomesoplenty:auroral_garden, biomesoplenty:cold_desert, biomesoplenty:muskeg, biomesoplenty:snowblossom_grove, biomesoplenty:snowy_coniferous_forest, biomesoplenty:snowy_fir_clearing, biomesoplenty:snowy_maple_woods, biomesoplenty:wintry_origin_valley, biomeswevegone:eroded_borealis, biomeswevegone:frosted_coniferous_forest, biomeswevegone:frosted_taiga, biomeswevegone:shattered_glacier, terralith:cold_shrubland, terralith:emerald_peaks, terralith:frozen_cliffs, terralith:glacial_chasm, terralith:gravel_desert, terralith:ice_marsh, terralith:snowy_badlands, terralith:snowy_shield, terralith:wintry_forest, terralith:wintry_lowlands",20.0
Crabrawler,15,30,"DAWN, DAY",Headbutt,"minecraft:beach, minecraft:snowy_beach, minecraft:stony_shore, biomesoplenty:dune_beach, biomesoplenty:gravel_beach, biomeswevegone:basalt_barrera, biomeswevegone:dacite_shore, biomeswevegone:rainbow_beach, terralith:basalt_cliffs, terralith:gravel_beach, biox:himalayan_shore, mysticsbiomes:lagoon","minecraft:snowy_taiga, minecraft:snowy_plains, minecraft:snowy_beach, minecraft:frozen_river, minecraft:frozen_ocean, minecraft:ice_spikes, minecraft:frozen_peaks, biomesoplenty:auroral_garden, biomesoplenty:cold_desert, biomesoplenty:muskeg, biomesoplenty:snowblossom_grove, biomesoplenty:snowy_coniferous_forest, biomesoplenty:snowy_fir_clearing, biomesoplenty:snowy_maple_woods, biomesoplenty:wintry_origin_valley, biomeswevegone:eroded_borealis, biomeswevegone:frosted_coniferous_forest, biomeswevegone:frosted_taiga, biomeswevegone:shattered_glacier, terralith:cold_shrubland, terralith:emerald_peaks, terralith:frozen_cliffs, terralith:glacial_chasm, terralith:gravel_desert, terralith:ice_marsh, terralith:snowy_badlands, terralith:snowy_shield, terralith:wintry_forest, terralith:wintry_lowlands",8.0
Crabrawler,15,35,DAY,Grass,"minecraft:beach, byg:rainbow_beach",NONE,90.0
Crabrawler,15,35,DAY,"Land, Headbutt","minecraft:beach, biomesoplenty:dune_beach, biomeswevegone:rainbow_beach",NONE,90.0
Crabrawler status:Sleep,15,30,"DUSK, NIGHT",Headbutt,"minecraft:beach, minecraft:snowy_beach, minecraft:stony_shore, biomesoplenty:dune_beach, biomesoplenty:gravel_beach, biomeswevegone:basalt_barrera, biomeswevegone:dacite_shore, biomeswevegone:rainbow_beach, terralith:basalt_cliffs, terralith:gravel_beach, biox:himalayan_shore, mysticsbiomes:lagoon","minecraft:snowy_taiga, minecraft:snowy_plains, minecraft:snowy_beach, minecraft:frozen_river, minecraft:frozen_ocean, minecraft:ice_spikes, minecraft:frozen_peaks, biomesoplenty:auroral_garden, biomesoplenty:cold_desert, biomesoplenty:muskeg, biomesoplenty:snowblossom_grove, biomesoplenty:snowy_coniferous_forest, biomesoplenty:snowy_fir_clearing, biomesoplenty:snowy_maple_woods, biomesoplenty:wintry_origin_valley, biomeswevegone:eroded_borealis, biomeswevegone:frosted_coniferous_forest, biomeswevegone:frosted_taiga, biomeswevegone:shattered_glacier, terralith:cold_shrubland, terralith:emerald_peaks, terralith:frozen_cliffs, terralith:glacial_chasm, terralith:gravel_desert, terralith:ice_marsh, terralith:snowy_badlands, terralith:snowy_shield, terralith:wintry_forest, terralith:wintry_lowlands",8.0
Cradily,40,55,DAY,Seafloor,pixelmon:ultra_jungle,NONE,5.0
Cramorant,15,35,ANY,Curry,"minecraft:river, minecraft:swamp, minecraft:mangrove_swamp, biomesoplenty:bayou, biomesoplenty:bog, biomesoplenty:marsh, biomesoplenty:wetland, biomeswevegone:bayou, biomeswevegone:cypress_swamplands, biomeswevegone:cypress_wetlands, terralith:orchid_swamp, minecraft:beach, minecraft:snowy_beach, minecraft:stony_shore, biomesoplenty:dune_beach, biomesoplenty:gravel_beach, biomeswevegone:basalt_barrera, biomeswevegone:dacite_shore, biomeswevegone:rainbow_beach, terralith:basalt_cliffs, terralith:gravel_beach, biox:himalayan_shore, mysticsbiomes:lagoon, terralith:desert_oasis, terralith:red_oasis, minecraft:frozen_ocean, minecraft:deep_frozen_ocean",NONE,10.0
Cramorant,15,35,DAY,Land,"minecraft:river, terralith:warm_river, minecraft:swamp, minecraft:mangrove_swamp, biomesoplenty:bayou, biomesoplenty:bog, biomesoplenty:marsh, biomesoplenty:wetland, biomeswevegone:bayou, biomeswevegone:cypress_swamplands, biomeswevegone:cypress_wetlands, terralith:orchid_swamp, minecraft:beach, minecraft:snowy_beach, minecraft:stony_shore, biomesoplenty:dune_beach, biomesoplenty:gravel_beach, biomeswevegone:basalt_barrera, biomeswevegone:dacite_shore, biomeswevegone:rainbow_beach, terralith:basalt_cliffs, terralith:gravel_beach, biox:himalayan_shore, mysticsbiomes:lagoon, terralith:desert_oasis, terralith:red_oasis, minecraft:frozen_ocean, minecraft:deep_frozen_ocean",NONE,30.0
Cramorant,15,35,DAY,Grass,"minecraft:river, minecraft:swamp, minecraft:mangrove_swamp, biomesoplenty:bayou, biomesoplenty:bog, biomesoplenty:marsh, biomesoplenty:wetland, biomeswevegone:bayou, biomeswevegone:cypress_swamplands, biomeswevegone:cypress_wetlands, terralith:orchid_swamp, minecraft:beach, minecraft:snowy_beach, minecraft:stony_shore, biomesoplenty:dune_beach, biomesoplenty:gravel_beach, biomeswevegone:basalt_barrera, biomeswevegone:dacite_shore, biomeswevegone:rainbow_beach, terralith:basalt_cliffs, terralith:gravel_beach, biox:himalayan_shore, mysticsbiomes:lagoon, terralith:desert_oasis, terralith:red_oasis, minecraft:frozen_ocean, minecraft:deep_frozen_ocean",NONE,30.0
Cranidos,2,35,DAY,Land,pixelmon:ultra_jungle,NONE,50.0
Crawdaunt,30,55,NIGHT,Grass,"minecraft:river, minecraft:swamp, minecraft:mangrove_swamp, biomesoplenty:bayou, biomesoplenty:bog, biomesoplenty:marsh, biomesoplenty:wetland, biomeswevegone:bayou, biomeswevegone:cypress_swamplands, biomeswevegone:cypress_wetlands, terralith:orchid_swamp, terralith:desert_oasis, terralith:red_oasis",NONE,8.0
Crawdaunt,30,43,NIGHT,Super Rod,"minecraft:river, terralith:warm_river, minecraft:swamp, minecraft:mangrove_swamp, biomesoplenty:bayou, biomesoplenty:bog, biomesoplenty:marsh, biomesoplenty:wetland, biomeswevegone:bayou, biomeswevegone:cypress_swamplands, biomeswevegone:cypress_wetlands, terralith:orchid_swamp, terralith:desert_oasis, terralith:red_oasis, minecraft:beach, minecraft:snowy_beach, minecraft:stony_shore, biomesoplenty:dune_beach, biomesoplenty:gravel_beach, biomeswevegone:basalt_barrera, biomeswevegone:dacite_shore, biomeswevegone:rainbow_beach, terralith:basalt_cliffs, terralith:gravel_beach, biox:himalayan_shore, mysticsbiomes:lagoon, pixelmon:ultra_crater",NONE,7.0
Crawdaunt,30,55,NIGHT,Land,"minecraft:river, terralith:warm_river, minecraft:swamp, minecraft:mangrove_swamp, biomesoplenty:bayou, biomesoplenty:bog, biomesoplenty:marsh, biomesoplenty:wetland, biomeswevegone:bayou, biomeswevegone:cypress_swamplands, biomeswevegone:cypress_wetlands, terralith:orchid_swamp, terralith:desert_oasis, terralith:red_oasis",NONE,8.0
Cresselia level:70,ANY,ANY,NIGHT,Land,minecraft:old_growth_birch_forest,NONE,0.5
Cresselia palette:spirit level:70,ANY,ANY,MIDNIGHT,"Land, Manmade",ANY,NONE,0.05
Croagunk,25,36,"AFTERNOON, DUSK, NIGHT",Grass,"minecraft:swamp, minecraft:mangrove_swamp, biomesoplenty:bayou, biomesoplenty:bog, biomesoplenty:marsh, biomesoplenty:wetland, biomeswevegone:bayou, biomeswevegone:cypress_swamplands, biomeswevegone:cypress_wetlands, terralith:orchid_swamp, minecraft:river, terralith:desert_oasis, terralith:red_oasis, pixelmon:ultra_deep_sea",NONE,130.0
Croagunk,25,36,"AFTERNOON, DUSK, NIGHT",Land,"minecraft:swamp, minecraft:mangrove_swamp, biomesoplenty:bayou, biomesoplenty:bog, biomesoplenty:marsh, biomesoplenty:wetland, biomeswevegone:bayou, biomeswevegone:cypress_swamplands, biomeswevegone:cypress_wetlands, terralith:orchid_swamp, minecraft:river, terralith:warm_river, terralith:desert_oasis, terralith:red_oasis, pixelmon:ultra_deep_sea",NONE,130.0
Croagunk,25,36,ANY,Curry,"minecraft:swamp, minecraft:mangrove_swamp, biomesoplenty:bayou, biomesoplenty:bog, biomesoplenty:marsh, biomesoplenty:wetland, biomeswevegone:bayou, biomeswevegone:cypress_swamplands, biomeswevegone:cypress_wetlands, terralith:orchid_swamp, minecraft:river, terralith:warm_river, terralith:desert_oasis, terralith:red_oasis, pixelmon:ultra_deep_sea",NONE,80.0
Crobat,40,50,ANY,Cave Rock,ANY,NONE,0.1
